0.19812 3.18272 0.858325 0.454442
0.245055 2.09616 1.94186 1.69187
0.273959 0.675191 2.23187 2.10158
0.437684 5.00292 2.22541 0.769302
0.473935 3.5315 2.74918 2.71773
0.702323 4.88781 1.48107 2.06715
0.769541 1.75356 1.59882 1.03328
0.780091 3.17714 2.18314 2.07292
0.811282 4.6933 1.67574 1.4592
0.848534 4.93998 1.36406 2.64894
0.851818 5.49266 1.18663 0.998133
0.868601 0.411434 1.90246 1.39425
0.87554 3.00032 1.68403 0.882368
0.938649 3.61254 1.9836 1.95337
0.947186 5.42497 1.51015 0.666768
0.965898 2.26586 2.63877 0.768562
0.968902 6.20153 2.54941 1.69177
0.996739 1.8348 2.15719 0.788362
1.00793 6.01663 1.45647 1.6987
1.02528 5.08092 1.63634 0.489704
1.03052 2.53549 2.72808 1.36824
1.03235 6.27643 1.45958 1.64692
1.04277 1.84336 2.70924 2.52695
1.06001 5.51887 2.40491 0.649735
1.06684 1.54517 1.84907 1.61831
1.06743 2.78169 2.61096 1.64536
1.08621 1.36554 1.38318 0.719428
1.09502 3.30168 1.72197 2.72282
1.10944 2.79058 2.27243 0.979056
1.11174 4.83689 1.98954 0.102393
1.11189 6.27012 2.33449 2.26701
1.12346 5.40342 1.99396 1.15875
1.1349 5.37604 2.61822 1.28538
1.135 0.970442 2.45366 1.11784
1.1367 1.81354 1.95875 2.11993
1.13812 1.1193 1.9858 2.03651
1.1421 1.88035 1.56937 0.485552
1.15339 2.23948 1.68053 2.05708
1.16359 2.50209 1.88735 2.91885
1.16557 4.20269 2.62156 2.29507
1.17409 0.147248 1.71092 0.822174
1.17806 5.87455 1.68676 1.76259
1.18438 4.59657 2.017 0.959295
1.19073 2.02117 1.82519 0.138559
1.19356 3.6459 1.21112 1.91457
1.19393 1.82261 1.19651 1.67225
1.19449 1.98477 1.82891 1.35881
1.19686 3.44837 1.57033 2.03364
1.19709 2.44492 1.56694 2.4178
1.20283 1.3039 1.95469 0.894072
1.20854 2.58647 2.20194 0.248072
1.21443 1.2464 2.82649 1.14032
1.21777 0.0869575 1.72833 0.792318
1.22222 3.5159 2.09743 1.57844
1.22562 4.34916 2.73081 1.8522
1.22603 3.61799 1.46411 2.08541
1.22894 5.21136 1.53 1.72757
1.23792 0.798367 2.58633 2.37858
1.23972 0.889786 1.9025 0.501484
1.24005 5.11317 1.93382 0.080261
1.24029 1.35117 2.35543 2.32666
1.24049 3.43371 2.66952 0.810494
